NAME,PHONE,ADDRESS,LOCATION,LATITUDE,LONGITUDE
1st Precinct,212-334-0611,"16 Ericsson Place, New York, NY","Ericsson Place, Tribeca, Manhattan, Manhattan Community Board 1, New York County, New York, 10005, United States of America",40.7205994,-74.0083416
5th Precinct,212-334-0711,"19 Elizabeth Street, New York, NY","19, Elizabeth Street, Chinatown, Manhattan, Manhattan Community Board 3, New York County, New York, 10013, United States of America",40.716186199999996,-73.99748956125865
6th Precinct,212-741-4811,"233 W 10th St, New York, NY","233, West 10th Street, Manhattan, Manhattan Community Board 2, New York County, New York, 10014, United States of America",40.7340416,-74.0054536
7th Precinct,212-477-7311,"19 1/2 Pitt Street, New York, NY","19 1/2, Pitt Street, Lower East Side, Manhattan, Manhattan Community Board 3, New York County, New York, 10002, United States of America",40.7162871,-73.9837703
9th Precinct,212-477-7811,"321, East 5th Street, East Village, Manhattan, New York, NY","9th Precinct NYPD, East 5th Street, East Village, Manhattan, Manhattan Community Board 3, New York County, New York, 10003, United States of America",40.7265299,-73.98783571696498
10th Precinct,212-741-8211,"230 West 20th Street, New York, NY","230, West 20th Street, Chelsea, Manhattan Community Board 4, New York County, New York, 10011, United States of America",40.7426975,-73.99864944546474
13th Precinct,212-477-7411,"230 East 21st Street, New York, NY","230, East 21st Street, Gramercy, Manhattan Community Board 6, New York County, New York, 10010, United States of America",40.7368819,-73.9827578
Midtown South Precinct,212-239-9811,"357 West 35th Street, New York, NY","357, West 35th Street, Garment District, Manhattan Community Board 4, New York County, New York, 10018, United States of America",40.7538182,-73.9949851
17th Precinct,212-826-3211,"167 East 51st Street, New York, NY","167, East 51st Street, Manhattan, Manhattan Community Board 5, New York County, New York, 10022, United States of America",40.7567621,-73.9707859
Midtown North Precinct,212-767-8400,"306 West 54th Street, New York, NY","306, West 54th Street, Manhattan, Manhattan Community Board 4, New York County, New York, 10019, United States of America",40.7649371,-73.9850825
19th Precinct,212-452-0600,"153 East 67th Street, New York, NY","153, East 67th Street, Manhattan, Manhattan Community Board 8, New York County, New York, 10021, United States of America",40.7670729,-73.9638697
20th Precinct,212-580-6411,"120 West 82nd Street, New York, NY","120, West 82nd Street, Manhattan, Manhattan Community Board 7, New York County, New York, 10024, United States of America",40.7841202,-73.9750749
Central Park Precinct,212-570-4820,"86th St & Transverse Road, New York, NY","86th Street Transverse Road, Manhattan, New York, New York County, New York, 10075-0381, United States of America",40.7813206,-73.96248
23rd Precinct,212-860-6411,"164 East 102nd Street, New York, NY","164, East 102nd Street, George Washington Carver Houses, East Harlem, Manhattan Community Board 11, New York County, New York, 10029, United States of America",40.7891815,-73.9472169
24th Precinct,212-678-1811,"151 West 100th Street, New York, NY","151, West 100th Street, Manhattan, Manhattan Community Board 7, New York County, New York, 10025, United States of America",40.7964779,-73.967428
25th Precinct,212-860-6511,"120 East 119th Street, New York, NY","120, East 119th Street, Manhattan, Manhattan Community Board 11, New York County, New York, 10035, United States of America",40.8006901,-73.94111799153842
26th Precinct,212-678-1311,"520 West 126th Street, New York, NY","520, West 126th Street, Manhattan, Manhattan Community Board 9, New York County, New York, 10027, United States of America",40.81469,-73.95653594153396
28th Precinct,212-678-1611,"2271 Frederick Douglass Blvd, New York, NY","2271, Frederick Douglass Boulevard, Harlem, Manhattan Community Board 10, New York County, New York, 10027, United States of America",40.808437,-73.952562375
30th Precinct,212-690-8811,"451 West 151st Street, New York, NY","451, West 151st Street, Sugar Hill, Manhattan Community Board 9, New York County, New York, 10031, United States of America",40.8288745,-73.94377772909826
32nd Precinct,212-690-6311,"250 West 135th Street, New York, NY","250, West 135th Street, Manhattan, Manhattan Community Board 10, New York County, New York, 10030, United States of America",40.8157476,-73.9453969
33rd Precinct,212-927-3200,"2207 Amsterdam Avenue, New York, NY","2207, Amsterdam Avenue, Washington Heights, Manhattan Community Board 12, New York County, New York, 10032, United States of America",40.8405867,-73.93573663316083
34th Precinct,212-927-9711,"4295 Broadway, New York, NY","4295, Broadway, Fort George, Manhattan, New York, New York County, New York, 10033, United States of America",40.851527149999995,-73.93537316409075
40th Precinct,718-402-2270,"257 Alexander Avenue, New York, NY","Fortieth Precinct Police Station, Alexander Avenue, Mitchel Houses, New York, The Bronx, Bronx County, New York, 10454, United States of America",40.8103299,-73.925216
41st Precinct,718-542-4771,"1035 Longwood Avenue, New York, NY","1035, Longwood Avenue, Hunts Point, New York, The Bronx, Bronx County, New York, 10459, United States of America",40.8163385,-73.89567449823033
42nd Precinct,718-402-3887,"830 Washington Avenue, New York, NY","830, Washington Avenue, Melrose, New York, The Bronx, Bronx County, New York, 10451, United States of America",40.8224638,-73.91123310877224
43rd Precinct,718-542-0888,"900 Fteley Avenue, New York, NY","900, Fteley Avenue, Clason Point, New York, The Bronx, Bronx County, New York, 10473, United States of America",40.82307095,-73.86974050594586
44th Precinct,718-590-5511,"2 East 169th Street, New York, NY","2, East 169th Street, High Bridge, New York, The Bronx, Bronx County, New York, 10452, United States of America",40.83730475,-73.92002852824726
45th Precinct,718-822-5411,"2877 Barkley Avenue, New York, NY","2877, Barkley Avenue, Schuylerville, New York, The Bronx, Bronx County, New York, 10465, United States of America",40.830843099999996,-73.82732281338933
46th Precinct,718-220-5211,"2120 Ryer Avenue, New York, NY","2120, Ryer Avenue, Fordham, New York, The Bronx, Bronx County, New York, 10457, United States of America",40.8540266,-73.90010138861862
47th Precinct,718-920-1211,"4111 Laconia Avenue, New York, NY","4111, Laconia Avenue, Eastchester Heights, New York, The Bronx, Bronx County, New York, 10466, United States of America",40.88751135,-73.84755406628824
48th Precinct,718-299-3900,"450 Cross Bronx Expressway, New York, NY","450, Cross Bronx Expressway, Tremont, New York, The Bronx, Bronx County, New York, 10457, United States of America",40.84420124489796,-73.89798069387756
49th Precinct,718-918-2000,"2121 Eastchester Road, New York, NY","2121, Eastchester Road, Baychester, New York, The Bronx, Bronx County, New York, 10461, United States of America",40.8560926,-73.84438278180977
50th Precinct,718-543-5700,"3450 Kingsbridge Avenue, New York, NY","Fiftieth Precinct Station House, Kingsbridge Avenue, Kingsbridge, New York, The Bronx, Bronx County, New York, 10463, United States of America",40.8834823,-73.90241725711081
